
Host: DatNguyenPC

Timers On : Tue Jun  4 14:44:11 2024
Timers Off: Tue Jun  4 14:57:49 2024

Wall Time:      818.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.484w    139 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.932w    485 calls
DFH: initialize()                   :      0.000u      0.000s     20.385w    139 calls
DFH: AO Construction                :      0.000u      0.000s      5.948w    139 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      2.863w    139 calls
HF: Form core H                     :      0.000u      0.000s      1.185w    139 calls
HF: Form S/X                        :      0.000u      0.000s      0.073w    139 calls
HF: Guess                           :      0.000u      0.000s      4.270w    139 calls
SAD Guess                           :      0.000u      0.000s      4.169w    123 calls
HF: Form G                          :      0.000u      0.000s      7.026w   1135 calls
JK: D                               :      0.000u      0.000s      0.012w   1135 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w   1135 calls
JK: JK                              :      0.000u      0.000s      6.975w   1135 calls
DFH: compute_JK()                   :      0.000u      0.000s      6.970w   1135 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w   1135 calls
DFH: compute_J                      :      0.000u      0.000s      0.842w   1135 calls
DFH: compute_K                      :      0.000u      0.000s      4.429w   1135 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w   1135 calls
HF: Form F                          :      0.000u      0.000s      0.012w   1135 calls
HF: Form D                          :      0.000u      0.000s      0.008w   1135 calls
HF: DIIS                            :      0.000u      0.000s      3.288w   1012 calls
HF: Form C                          :      0.000u      0.000s      0.535w   1012 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.228w     17 calls
Grad: S                             :      0.000u      0.000s      0.015w     17 calls
Grad: JK                            :      0.000u      0.000s     29.474w     17 calls
JKGrad: Amn                         :      0.000u      0.000s      5.111w     17 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     17 calls
JKGrad: AB                          :      0.000u      0.000s      8.526w     17 calls
JKGrad: UV                          :      0.000u      0.000s      2.195w     17 calls
JKGrad: ABx                         :      0.000u      0.000s      1.278w     17 calls
JKGrad: Amnx                        :      0.000u      0.000s     12.263w     17 calls
Grad: XC                            :      0.000u      0.000s      0.000w     17 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.484w    139 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.292w    139 calls
DFH: initialize()                   :      0.000u      0.000s     20.385w    139 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.364w    278 calls
| DFH: AO Construction              :      0.000u      0.000s      5.948w    139 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      2.863w    139 calls
HF: Form core H                     :      0.000u      0.000s      1.185w    139 calls
HF: Form S/X                        :      0.000u      0.000s      0.073w    139 calls
HF: Guess                           :      0.000u      0.000s      4.270w    139 calls
| SAD Guess                         :      0.000u      0.000s      4.169w    123 calls
HF: Form G                          :      0.000u      0.000s      7.026w   1135 calls
| JK: D                             :      0.000u      0.000s      0.012w   1135 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w   1135 calls
| JK: JK                            :      0.000u      0.000s      6.975w   1135 calls
| | DFH: compute_JK()               :      0.000u      0.000s      6.970w   1135 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w   1135 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.842w   1135 calls
| | | DFH: compute_K                :      0.000u      0.000s      4.429w   1135 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w   1135 calls
HF: Form F                          :      0.000u      0.000s      0.012w   1135 calls
HF: Form D                          :      0.000u      0.000s      0.008w   1135 calls
HF: DIIS                            :      0.000u      0.000s      3.288w   1012 calls
HF: Form C                          :      0.000u      0.000s      0.535w   1012 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.228w     17 calls
Grad: S                             :      0.000u      0.000s      0.015w     17 calls
Grad: JK                            :      0.000u      0.000s     29.474w     17 calls
| JKGrad: Amn                       :      0.000u      0.000s      5.111w     17 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.129w     17 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     17 calls
| JKGrad: AB                        :      0.000u      0.000s      8.526w     17 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.008w     17 calls
| JKGrad: UV                        :      0.000u      0.000s      2.195w     17 calls
| JKGrad: ABx                       :      0.000u      0.000s      1.278w     17 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.009w     17 calls
| JKGrad: Amnx                      :      0.000u      0.000s     12.263w     17 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.130w     17 calls
Grad: XC                            :      0.000u      0.000s      0.000w     17 calls

**************************************************************************************

Host: DatNguyenPC

Timers On : Tue Jun  4 15:03:27 2024
Timers Off: Tue Jun  4 15:04:02 2024

Wall Time:       35.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.192w      1 calls
build grid                          :      0.000u      0.000s      0.154w      1 calls
post-process grid                   :      0.000u      0.000s      0.038w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.006w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.007w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.082w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.023w      1 calls
